location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
"Bos, Joel",Acht,71,106
"Bos, Joel","Almelo, emplacement",71,102
"Bos, Joel","Amersfoort, emplacement sp.12",28,29
"Bos, Joel","Amersfoort, remise Strukton",28,34
"Bos, Joel",Amsterdam Centraal,56,76
"Bos, Joel",Amsterdam Westhaven,55,80
"Bos, Joel",Amsterdam Westhaven West,56,83
"Bos, Joel",APMT,97,143
"Bos, Joel","Arnhem, goederenemplacement",33,42
"Bos, Joel","Bad Bentheim, empl. / staalfabriek",86,132
"Bos, Joel","Bad Bentheim, Hilgenstiege sp.25",85,132
"Bos, Joel","Beverwijk, emplacement",64,97
"Bos, Joel","Blerick, emplacement en werkplaats",75,113
"Bos, Joel","Born, emplacement",104,162
"Bos, Joel","Botlek, emplacement",78,118
"Bos, Joel",Bottrop,85,128
"Bos, Joel","Coevorden, euroterminal",97,139
"Bos, Joel",Deventer goed. empl.,44,61
"Bos, Joel","Deventer, goederenemplacement",45,61
"Bos, Joel","Dordrecht, dok",70,106
"Bos, Joel","Dortmund Obereving, emplacement",110,172
"Bos, Joel",Duisburg Ruhrorthafen,84,130
"Bos, Joel","Duisburg, Hochfeld Süd Vorbahnhof",85,138
"Bos, Joel",ECT,100,145
"Bos, Joel","Eindhoven, emplacement",69,104
"Bos, Joel","Eindhoven, emplacement Acht",71,107
"Bos, Joel",Eltville Ost,236,372
"Bos, Joel","Emmerich, station",50,65
"Bos, Joel",Euromax,102,153
"Bos, Joel","Europoort, emplacement",84,129
"Bos, Joel","Gekkengraaf, emplacement",73,111
"Bos, Joel",Germersheim,285,470
"Bos, Joel",Goes,123,185
"Bos, Joel","Hengelo, emplacement",72,104
"Bos, Joel","Herzogenrath, station",134,199
"Bos, Joel",Holland Cargo Terminal,59,86
"Bos, Joel","Houtrakpolder, emplacement",54,83
"Bos, Joel","IJsselmonde, emplacement",69,101
"Bos, Joel","Kaldenkirchen, station",78,121
"Bos, Joel","Kijfhoek, emplacement",68,103
"Bos, Joel","Köln Eifeltor, emplacement",130,207
"Bos, Joel",Koole Vondelingenweg,76,114
"Bos, Joel","Krefeld Linn, emplacement",100,151
"Bos, Joel","Lage Zwaluwe, emplacement",73,110
"Bos, Joel","Leusden, PON",26,19
"Bos, Joel",Ludwigshafen-Oggersheim,266,423
"Bos, Joel","Maasvlakte, emplacement",96,144
"Bos, Joel",Magdeburg Hbf,287,472
"Bos, Joel","Marl-Sinsen, emplacement",99,157
"Bos, Joel",Matrans Rotterdam Terminal,88,116
"Bos, Joel","Moerdijk, emplacement",79,114
"Bos, Joel",Moers,91,139
"Bos, Joel","Neuss, guterbahnhof",109,168
"Bos, Joel","Nijmegen, emplacement",43,57
"Bos, Joel",NWB terminal,55,80
"Bos, Joel",OBA,56,81
"Bos, Joel","Oberhausen West, emplacement",78,126
"Bos, Joel","Oldenzaal, emplacement",76,114
"Bos, Joel","Onnen, emplacement noordingang",118,183
"Bos, Joel","Onnen, emplacement zuidingang",115,179
"Bos, Joel",Opladen,113,179
"Bos, Joel","Oss, terminal OOC",47,64
"Bos, Joel","Pernis, emplacement",74,111
"Bos, Joel",Rheine,101,153
"Bos, Joel","Rheinhausen, emplacement",97,143
"Bos, Joel","Roosendaal, emplacement",90,131
"Bos, Joel",RWG,100,144
"Bos, Joel","Sittard, emplacement",111,167
"Bos, Joel",Sloehaven empl.,129,196
"Bos, Joel",Steinweg Amsterdam,56,83
"Bos, Joel",Stroe,19,15
"Bos, Joel","Tilburg, industrie",73,105
"Bos, Joel","Uitgeest, emplacement",66,93
"Bos, Joel","Valburg, emplacement CUP",33,47
"Bos, Joel","Venlo, emplacement",78,115
"Bos, Joel","Viersen, guterbahnhof",97,141
"Bos, Joel","Vlissingen Sloe, emplacement",129,197
"Bos, Joel",Vopak-Sloe,130,196
"Bos, Joel","Waalhaven, emplacement",73,112
"Bos, Joel","Waalhaven, kantoor RFO",75,112
"Bos, Joel","Westhaven, emplacement",54,80
"Bos, Joel",Zevenaar grens,35,48
"Bos, Joel","Zutphen, emplacement",49,62
"Broere, Sam",Acht,60,84
"Broere, Sam","Almelo, emplacement",90,128
"Broere, Sam","Amersfoort, emplacement sp.12",29,27
"Broere, Sam","Amersfoort, remise Strukton",27,24
"Broere, Sam",Amsterdam Centraal,46,54
"Broere, Sam",Amsterdam Westhaven,41,52
"Broere, Sam",Amsterdam Westhaven West,43,53
"Broere, Sam",APMT,74,102
"Broere, Sam","Arnhem, goederenemplacement",52,70
"Broere, Sam","Bad Bentheim, empl. / staalfabriek",104,158
"Broere, Sam","Bad Bentheim, Hilgenstiege sp.25",104,158
"Broere, Sam","Beverwijk, emplacement",48,67
"Broere, Sam","Blerick, emplacement en werkplaats",94,141
"Broere, Sam","Born, emplacement",100,151
"Broere, Sam","Botlek, emplacement",56,76
"Broere, Sam",Bottrop,105,156
"Broere, Sam","Coevorden, euroterminal",103,145
"Broere, Sam",Deventer goed. empl.,63,87
"Broere, Sam","Deventer, goederenemplacement",63,87
"Broere, Sam","Dordrecht, dok",49,67
"Broere, Sam","Dortmund Obereving, emplacement",129,200
"Broere, Sam",Duisburg Ruhrorthafen,104,158
