location1Name,location2Name,travelTimeMinutes,travelDistanceKilometers
Acht,"Almelo, emplacement",114,169
Acht,"Amersfoort, emplacement sp.12",75,107
Acht,"Amersfoort, remise Strukton",74,104
Acht,Amsterdam Centraal,91,124
Acht,Amsterdam Westhaven,84,127
Acht,Amsterdam Westhaven West,89,135
Acht,APMT,98,142
Acht,"Arnhem, goederenemplacement",62,87
Acht,"Bad Bentheim, empl. / staalfabriek",129,200
Acht,"Bad Bentheim, Hilgenstiege sp.25",129,201
Acht,"Beverwijk, emplacement",92,142
Acht,Bietigheim-Bissingen,317,496
Acht,"Blerick, emplacement en werkplaats",47,63
Acht,"Born, emplacement",51,72
Acht,"Botlek, emplacement",80,117
Acht,Bottrop,94,128
Acht,"Coevorden, euroterminal",140,207
Acht,Deventer goed. empl.,85,127
Acht,"Deventer, goederenemplacement",86,127
Acht,"Dordrecht, dok",60,86
Acht,"Dortmund Obereving, emplacement",122,164
Acht,Duisburg Ruhrorthafen,79,110
Acht,"Duisburg, Hochfeld Süd Vorbahnhof",81,116
Acht,ECT,100,144
Acht,"Eindhoven, emplacement",19,9
Acht,"Eindhoven, emplacement Acht",5,3
Acht,Eltville Ost,222,339
Acht,"Emmerich, station",84,123
Acht,Euromax,103,152
Acht,"Europoort, emplacement",86,128
Acht,"Gekkengraaf, emplacement",43,58
Acht,Germersheim,258,405
Acht,Goes,90,132
Acht,"Hengelo, emplacement",114,172
Acht,"Herzogenrath, station",77,103
Acht,Holland Cargo Terminal,91,136
Acht,"Houtrakpolder, emplacement",86,133
Acht,"IJsselmonde, emplacement",72,102
Acht,"Kaldenkirchen, station",52,72
Acht,"Kijfhoek, emplacement",60,88
Acht,"Köln Eifeltor, emplacement",109,160
Acht,Koole Vondelingenweg,80,114
Acht,"Krefeld Linn, emplacement",81,108
Acht,"Lage Zwaluwe, emplacement",52,73
Acht,"Leusden, PON",70,105
Acht,Ludwigshafen-Oggersheim,238,370
Acht,"Maasvlakte, emplacement",97,143
Acht,Magdeburg Hbf,315,512
Acht,"Marl-Sinsen, emplacement",108,158
Acht,Matrans Rotterdam Terminal,87,111
Acht,"Moerdijk, emplacement",58,80
Acht,Moers,71,101
Acht,"Neuss, guterbahnhof",83,119
Acht,"Nijmegen, emplacement",53,69
Acht,NWB terminal,87,128
Acht,OBA,87,128
Acht,"Oberhausen West, emplacement",79,114
Acht,"Oldenzaal, emplacement",119,181
Acht,"Onnen, emplacement noordingang",161,250
Acht,"Onnen, emplacement zuidingang",157,246
Acht,Opladen,108,157
Acht,"Oss, terminal OOC",39,50
Acht,"Pernis, emplacement",79,113
Acht,Rheine,144,221
Acht,"Rheinhausen, emplacement",77,109
Acht,"Roosendaal, emplacement",62,86
Acht,RWG,102,144
Acht,"Sittard, emplacement",57,79
Acht,Sloehaven empl.,95,144
Acht,Steinweg Amsterdam,89,135
Acht,Stroe,80,109
Acht,Stuttgart,327,509
Acht,"Tilburg, industrie",24,28
Acht,"Uitgeest, emplacement",97,151
Acht,"Valburg, emplacement CUP",52,76
Acht,"Venlo, emplacement",50,64
Acht,"Viersen, guterbahnhof",69,90
Acht,"Vlissingen Sloe, emplacement",95,144
Acht,Vopak-Sloe,96,144
Acht,"Waalhaven, emplacement",73,107
Acht,"Waalhaven, kantoor RFO",75,108
Acht,"Westhaven, emplacement",86,127
Acht,Zevenaar grens,74,106
Acht,"Zutphen, emplacement",87,118
"Almelo, emplacement","Amersfoort, emplacement sp.12",79,106
"Almelo, emplacement","Amersfoort, remise Strukton",79,112
"Almelo, emplacement",Amsterdam Centraal,107,155
"Almelo, emplacement",Amsterdam Westhaven,105,158
"Almelo, emplacement",Amsterdam Westhaven West,108,162
